Document Title,¤¤¤å¼ÐÃD,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
An Automated Approach for Software Bug Classification,¤@ºØ¦Û°Ê¶i¦æ³n¥ó¿ù»~¤ÀÃþªº¤èªk,Neelofar; M. Y. Javed; H. Mohsin,"Dept. of Comput. Eng., Nat. Univ. of Sci. & Technol., Rawalpindi, Pakistan; Dept. of Comput. Eng., Nat. Univ. of Sci. & Technol., Rawalpindi, Pakistan; Dept. of Comput. Eng., Nat. Univ. of Sci. & Technol., Rawalpindi, Pakistan","2012 Sixth International Conference on Complex, Intelligent, and Software Intensive Systems",23-Jul-12,2012,,,414,419,"Open source projects for example Eclipse and Fire fox have open source bug repositories. User reports bugs to these repositories. Users of these repositories are usually non-technical and cannot assign correct class to these bugs. Triaging of bugs, to developer, to fix them is a tedious and time consuming task. Developers are usually expert in particular areas. For example, few developers are expert in GUI and others are in java functionality. Assigning a particular bug to relevant developer could save time and would help to maintain the interest level of developers by assigning bugs according to their interest. However, assigning right bug to right developer is quite difficult for triager without knowing the actual class, the bug belongs to. In this research, we have classified the bugs in different labels on the basis of summary of the bug. Multinomial NaÃ¯ve Bayes text classifier is used for classification purpose. For feature selection, Chi-Square and TFIDF algorithms were used. Using NaÃ¯ve Bayes and Chi-square, we get average of 83 % accuracy.",,978-1-4673-1233-2,10.1109/CISIS.2012.132,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6245635,Text mining;classification;software repositories;open source software projects;triaging;feature extraction,Training;Computer bugs;Accuracy;Data mining;Software;Classification algorithms;Testing,data mining;pattern classification;program debugging;public domain software;text analysis,software bug classification;open source projects;Eclipse;Firefox;open source bug repositories;bug triaging;multinomial naive Bayes text classifier;feature selection;chi-square algorithm;TFIDF algorithm,,8,,10,,23-Jul-12,,,IEEE,IEEE Conferences
Multi-Document summarization based on improved features and clustering,°ò©ó§ï¶i¥\¯à©M»EÃþªº¦h¤åÀÉºK­n,Y. Xiong; H. Liu; L. Li,"Beijing University of Posts and Telecommunications, China; Beijing University of Posts and Telecommunications, China; Beijing University of Posts and Telecommunications, China",Proceedings of the 6th International Conference on Natural Language Processing and Knowledge Engineering(NLPKE-2010),30-Sep-10,2010,,,1,5,"Multi-Document summarization is an emerging technique for understanding the main purpose of many documents about the same topic. This paper proposes a new feature selection method to improve the summarization result. When calculating similarity, we use a modified TFIDF formula which achieves a better result. We adopt two ways for exactly extracting keywords. Experimental results demonstrate that our improved method performs better than the traditional one.",,978-1-4244-6899-7,10.1109/NLPKE.2010.5587834,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5587834,Multi-document summarization;feature selection;cluster;sentence selection,Telecommunications;Context,document handling;information retrieval;pattern clustering,multidocument summarization;TFIDF formula;keyword extraction;feature selection method;sentence selection,,2,,14,,30-Sep-10,,,IEEE,IEEE Conferences
Natural Language Processing based New Approach to Design Factoid Question Answering System,°ò©ó¦ÛµM»y¨¥³B²zªºFactoid°Ýµª¨t²Î³]­p·s¤èªk,M. Vinodkumar Sadhuram; A. Soni,"Chhatrapati Shivaji Institute of Technology,Durg,Chhattisgarh; Chhatrapati Shivaji Institute of Technology,Durg,Chhattisgarh",2020 Second International Conference on Inventive Research in Computing Applications (ICIRCA),1-Sep-20,2020,,,276,281,"The field of text mining which deals with the providing of answers to the questions of the users is also one of the hot topics for researchers. The difficulty seen in the proper answering of the questions needs to be resolved. The large variety of questions fails in the QA system. In this paper, Natural Language Processing (NLP) has been used which deals with the processing of the data that comes in any form like text, video, image, or audio. This NLP comes under the field of artificial intelligence (AI), which is used in the field of question answering (QA) system. Here proposed work for designing a system that works for factoid QA which will answer the questions that are asked by the users. Lexical Chain and Keyword analysis are used in our system for the answering of questions from a given set of articles. The reasoning system is used for the validity of the answering. The experiment here is done with the SQUAD dataset. In our experiment, the accuracy obtained for the passage retrieval using TFIDF is 69.69%. The overall average of the correct prediction of the answer is 69.93%.",,978-1-7281-5374-2,10.1109/ICIRCA48905.2020.9182972,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9182972,Factoid Question Answering System;Natural Language Processing;TF-IDF;Artificial Intelligence;S QUAD Dataset,Natural language processing;Computer architecture;Conferences;Knowledge discovery;Task analysis,artificial intelligence;data mining;natural language processing;question answering (information retrieval);text analysis,natural language processing;design factoid question answering system;text mining;proper answering;QA system;NLP;reasoning system;SQUAD dataset;TFIDF;passage retrieval;AI;artificial intelligence,,,,15,,1-Sep-20,,,IEEE,IEEE Conferences
Course recommendation based on semantic similarity analysis,°ò©ó»y¸q¬Û¦ü«×¤ÀªRªº½Òµ{±ÀÂË,H. Ma; X. Wang; J. Hou; Y. Lu,"Graduate Management Brigade, Defense Information Academy, Wuhan, China; Graduate Management Brigade, Defense Information Academy, Wuhan, China; Graduate Management Brigade, Defense Information Academy, Wuhan, China; The fourth department, Defense Information Academy, Wuhan, China",2017 3rd IEEE International Conference on Control Science and Systems Engineering (ICCSSE),30-Oct-17,2017,,,638,641,"For many students, course recommendation is a troublesome problem. To choose satisfying courses when they only have a little of information about the courses, they have to turn to common course schedule systems for help, but the result is disappointing. To solve the problem, the method of scoring similarity of courses and clustering courses based on course descriptions is presented. Different from the method, this paper applies semantic similarity analysis into course selection, realizes a course recommendation system. Each course description is first modeled as a document, and a cleantokenize-TFIDF-Word2Vec-Doc2Vec pipeline is built to create vectors for each course from which cosine similarities will be calculated. The result is even better than the above method through evaluation.",,978-1-5386-0484-7,10.1109/CCSSE.2017.8088011,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8088011,course recommendation;semantic similarity;evaluation,Semantics;Large scale integration;Clustering algorithms;Algorithm design and analysis;Schedules;Data mining;Vocabulary,document handling;educational administrative data processing;educational courses;recommender systems,course description;semantic similarity analysis;course selection;course recommendation system;cleantokenize-TFIDF-Word2Vec-Doc2Vec pipeline;cosine similarities;common course schedule systems;clustering courses,,7,,5,,30-Oct-17,,,IEEE,IEEE Conferences
Evaluation of classification methods for Indonesian text emotion detection,¦L¥§¤å¦r±¡·PÀË´ú¤ÀÃþ¤èªkªºµû»ù,Muljono; N. A. S. Winarsih; C. Supriyanto,"Department of Informatics Engineering, Dian Nuswantoro University, Semarang, Indonesia; Department of Informatics Engineering, Dian Nuswantoro University, Semarang, Indonesia; Department of Informatics Engineering, Dian Nuswantoro University, Semarang, Indonesia",2016 International Seminar on Application for Technology of Information and Communication (ISemantic),9-Mar-17,2016,,,130,133,"This paper presents Indonesian text emotion detection and evaluates the performances of four different classification methods: Naive Bayes (NB), J48, K-Nearest Neighbor (KNN) and Support Vector Machine-Sequential Minimal Optimization (SVM-SMO). The experiment uses Indonesian text corpus, containing 1000 sentences which consists of six emotion classes: anger, disgust, fear, joy, sadness, and surprise. Preprocessing step which consists of tokenization, case normalization, stopword removal, stemming and TFIDF are used to extract the features of text emotion. We conduct 10-fold cross validation and split validation for the experiment. Based on the result, we conclude that SVM-SMO classifier gives the best performance. In the 10-fold cross validation, the result shows that the accuracy of NB, J48, KNN and SVM-SMO are 80.2%, 80.8%, 68.1%, and 85.5% respectively. The same conclusion is also demonstrated by the split validation, the highest accuracy of 86% is also achieved by SVM-SMO.",,978-1-5090-2326-4,10.1109/ISEMANTIC.2016.7873824,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7873824,Indonesian Text Emotion Detection;SVM-SMO;J48;Naive Bayes;KNN,Niobium;Support vector machines;Training;Seminars;Emotion recognition;Testing;Feature extraction,Bayes methods;behavioural sciences computing;emotion recognition;learning (artificial intelligence);optimisation;pattern classification;support vector machines;text analysis,Indonesian text emotion detection;naive Bayes;J48;K-nearest neighbor;support vector machine-sequential minimal optimization;anger emotion;disgust emotion;fear emotion;joy emotion;sadness emotion;surprise emotion;tokenization;case normalization;stopword removal;stemming;TFIDF;feature extraction;SVM-SMO classification method;NB classification method;J48 classification method;KNN classification method;term frequency inverse document frequency,,5,,16,,9-Mar-17,,,IEEE,IEEE Conferences
The construction and maintenance of the frequently asked question,±`¨£°ÝÃDªººc«Ø©MºûÅ@,F. Li; L. Liu,"School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China",2010 IEEE 2nd Symposium on Web Society,21-Oct-10,2010,,,296,300,"With the development of Question Answering System which is a hot topic in the area of Artificial Intelligence, the set of FAQ (Frequently Asked Question) has become a widely used knowledge base and it do play an important role in Question Answering System. Besides this, it is also important in Information Retrieval. Therefore, the problem of how to construct and maintain the FAQ automatically has attracted many researchers ' attention. In this paper, we put forward a method aims at solving the problem. We quote the ?œConcept Hierarchy Structure??for the first time which combined with the theory of text classification. We implement a method of computing similarity between sentences named TFIDF in the construction and maintenance of the FAQ. We do some experiments to verify our method and analyze the shortcomings of the method. From the experiment, we can see that the method introduced in this paper can reach a nice result.",2158-6993,978-1-4244-6359-6,10.1109/SWS.2010.5607438,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5607438,,Software;Search engines;Internet;Hardware;Maintenance engineering;Computers;Monitoring,classification;information retrieval;knowledge based systems;software maintenance;text analysis,question answering system;artificial intelligence;frequently asked question;knowledge base;information retrieval;concept hierarchy structure;text classification;TFIDF method;FAQ construction;FAQ maintenance,,,,8,,21-Oct-10,,,IEEE,IEEE Conferences
Quest for the information: using intelligent search for finding telemedical sites,´M¨D«H®§¡G¨Ï¥Î´¼¯à·j¯Á¬d§ä»·µ{ÂåÀø¯¸ÂI,M. Zorman; V. Podgorelec; P. Kokol,"Fac. of Electr. Eng. & Comput. Sci., Maribor Univ., Slovenia; NA; NA","SMC'98 Conference Proceedings. 1998 IEEE International Conference on Systems, Man, and Cybernetics (Cat. No.98CH36218)",6-Aug-02,1998,4,,4086,4091 vol.4,"We present an intelligent search tool, which we developed in order to automate search and evaluation of Web sites. We used TFIDF heuristics to determine term frequency and decision trees to evaluate the quality of sites. The training set for the decision tree contained manually evaluated Web sites. Each Web site was described by the combination of various attributes, complexity metrics and the evaluation. The intelligent search tool is equipped with a user friendly interface, which enables people to exploit the tool to its limits with minimum effort, in their quest for information. For testing purposes, we looked for sites with telemedical content. The set of sites, which was the result of using intelligent search tool was evaluated by a group of students.",1062-922X,0-7803-4778-1,10.1109/ICSMC.1998.726729,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=726729,,Fractals;Java;Decision trees;Databases;Information filtering;Information filters;Current measurement;Frequency measurement;Equations;Navigation,telemedicine;medical computing;information resources;information retrieval;online front-ends;user interfaces;human factors;knowledge based systems,information quest;Web sites;telemedical sites;intelligent search tool;TFIDF heuristics;term frequency;decision trees;training set;decision tree;complexity metrics;user friendly interface;telemedical content,,1,,7,,6-Aug-02,,,IEEE,IEEE Conferences
Research on archives text classification based on Naive bayes,°ò©ó¾ë¯À¨©¸­´µªºÀÉ®×¤å¥»¤ÀÃþ¬ã¨s,P. Liu; H. Yu; T. Xu; C. Lan,"State Key Laboratory of Chinese Language and Information Technology of Ministry of Education, Northwest University for Nationalities, Lanzhou, China; State Key Laboratory of Chinese Language and Information Technology of Ministry of Education, Northwest University for Nationalities, Lanzhou, China; State Key Laboratory of Chinese Language and Information Technology of Ministry of Education, Northwest University for Nationalities, Lanzhou, China; State Key Laboratory of Chinese Language and Information Technology of Ministry of Education, Northwest University for Nationalities, Lanzhou, China","2017 IEEE 2nd Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)",8-Feb-18,2017,,,187,190,"This paper analyzes the data resources of archives in Gansu Province by combining with the characteristics of archives resources, and combines with Naive Bayesian classification algorithm to realize the application of archives resource classification. According to the characteristics of the file data, select the attribute that matches the text of the file text, and use the TFIDF algorithm in the file text feature attribute selection. The experimental results show that the classification model is suitable for the classification of archival text resources, and the function of automatic classification of archives is realized. Compared with the traditional Naive Bayesian classification method, the classification model proposed in this paper is 1% -2% for the classification efficiency of archives, it is a more effective classification model for the archives.",,978-1-5090-6414-4,10.1109/ITNEC.2017.8284934,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8284934,archives text resource;file feature;text classification;Naive Bayesian classification,,Bayes methods;learning (artificial intelligence);pattern classification;text analysis,archives resource classification;file data;TFIDF algorithm;file text feature attribute selection;traditional Naive Bayesian classification method;archives text classification;Gansu Province;naive Bayesian classification algorithm,,4,,8,,8-Feb-18,,,IEEE,IEEE Conferences
A Comparative Study of Chinese Patent Literature Automatic Classification Based on Deep Learning,°ò©ó²`«×¾Ç²ßªº¤¤°ê±M§Q¤åÄm¦Û°Ê¤ÀÃþ¤ñ¸û¬ã¨s,L. Lyu; T. Han,National Science Library Chinese Academy of Sciences; National Science Library Chinese Academy of Sciences,2019 ACM/IEEE Joint Conference on Digital Libraries (JCDL),8-Aug-19,2019,,,345,346,"Patent literature automatic classification is of great significance to literature retrieval and management. In this study, deep learning technique is used for Chinese patent literature classification, and automatic classification accuracy rates of one existing model and six deep learning models are compared. Compared with ""TFIDF+Logistic Regression"" model, the deep learning model has better effect of patent literature automatic classification. Furthermore, the ""Word2Vec+GRU+TextCNN"" model in seven models has the highest classification accuracy rate, and attention mechanism has little effect on classification results.",,978-1-7281-1547-4,10.1109/JCDL.2019.00063,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8791193,Deep learning;Patent literature;Automatic classification;Word embedding;Patent text mining,Patents;Deep learning;Feature extraction;Semantics;Analytical models;Logistics;Classification algorithms,classification;convolutional neural nets;information retrieval;learning (artificial intelligence);natural language processing;patents;pattern classification;regression analysis;text analysis,Chinese patent literature automatic classification;literature retrieval;deep learning technique;Word2Vec+GRU+TextCNN model;TFIDF+logistic regression model,,1,,5,,8-Aug-19,,,IEEE,IEEE Conferences
Using machine learning techniques for automatic evaluation of Web sites,¨Ï¥Î¾÷¾¹¾Ç²ß§Þ³N¹ïºô¯¸¶i¦æ¦Û°Êµû¦ô,M. Zorman; V. Podgorelec; P. Kokol; S. H. Babic,"Fac. of Electr. Eng. & Comput. Sci., Maribor Univ., Slovenia; NA; NA; NA",Proceedings Third International Conference on Computational Intelligence and Multimedia Applications. ICCIMA'99 (Cat. No.PR00300),6-Aug-02,1999,,,169,173,"We present an intelligent search tool which we developed in order to automate search and evaluation of Web sites. We used TFIDF heuristics to determine term frequency and decision trees to evaluate the quality of sites. Training set for the decision tree contained manually evaluated Web sites. Each Web site was described by the combination of various attributes, complexity metrics and the evaluation. The intelligent search tool is equipped with a user-friendly interface, which enables people to exploit the tool to its limits with minimum effort. For testing purposes, we looked for sites with different content. The set of sites which was the result of using the intelligent search tool has been evaluated by a group of students.",,0-7695-0300-4,10.1109/ICCIMA.1999.798523,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=798523,,Machine learning;Helium;Decision support systems;Fiber reinforced plastics,online front-ends;information resources;information retrieval;learning (artificial intelligence);decision trees;user interfaces;interactive systems;knowledge based systems,machine learning techniques;automatic evaluation;Web site evaluation;intelligent search tool;TFIDF heuristics;term frequency;decision trees;manually evaluated Web sites;complexity metrics;user-friendly interface,,2,,,,6-Aug-02,,,IEEE,IEEE Conferences
Text Similarity in Vector Space Models: A Comparative Study,¦V¶qªÅ¶¡¼Ò«¬¤¤ªº¤å¥»¬Û¦ü©Ê¡G¤ñ¸û¬ã¨s,O. Shahmirzadi; A. Lugowski; K. Younge,EPFL; PatRF; EPFL,2019 18th IEEE International Conference On Machine Learning And Applications (ICMLA),17-Feb-20,2019,,,659,666,"Automatic measurement of semantic text similarity is an important task in natural language processing. In this paper, we evaluate the performance of different vector space models to perform this task. We address the real-world problem of modeling patent-to-patent similarity and compare TFIDF (and related extensions), topic models (e.g., latent semantic indexing), and neural models (e.g., paragraph vectors). Contrary to expectations, the added computational cost of text embedding methods is justified only when: 1) the target text is condensed; and 2) the similarity comparison is trivial. Otherwise, TFIDF performs surprisingly well in other cases: in particular for longer and more technical texts or for making finer-grained distinctions between nearest neighbours. Unexpectedly, extensions to the TFIDF method, such as adding noun phrases or calculating term weights incrementally, were not helpful in our context.",,978-1-7281-4550-1,10.1109/ICMLA.2019.00120,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8999168,"text similarity , vector space model , text embedding , patent , big data",Patents;Semantics;Predictive models;Vocabulary;Context modeling;Task analysis;Computational modeling,natural language processing;nearest neighbour methods;patents;text analysis;vectors,patent-to-patent similarity;latent semantic indexing;neural models;paragraph vectors;text embedding methods;technical texts;nearest neighbours;TFIDF method;automatic measurement;semantic text similarity;natural language processing;vector space models,,,,19,,17-Feb-20,,,IEEE,IEEE Conferences
Latent Semantic Analysis Boosted Convolutional Neural Networks for Document Classification,¼ç¦b»y¸q¤ÀªR«P¶i¨÷¿n¯«¸gºôµ¸¶i¦æ¤åÀÉ¤ÀÃþ,E. Gultepe; M. Kamkarhaghighi; M. Makrehchi,"Computer, and Software Engineering, University of Ontario Institute of Technology, Department of Electrical, Oshawa, ON, Canada; Computer, and Software Engineering, University of Ontario Institute of Technology, Department of Electrical, Oshawa, ON, Canada; Computer, and Software Engineering, University of Ontario Institute of Technology, Department of Electrical, Oshawa, ON, Canada","2018 5th International Conference on Behavioral, Economic, and Socio-Cultural Computing (BESC)",25-Apr-19,2018,,,93,98,"Convolutional neural networks (CNNs) have been shown to be effective in document classification tasks. CNNs can be setup using various architectures with many different parameter settings, which may make them difficult to implement. For many document classification tasks, data transformed with ngrams (typically using uni, bi, and trigrams) and term-frequency inverse-document-frequency (TFIDF) weighting are still considered effective baseline models when used with linear classifiers such as logistic regression, especially in smaller datasets with less than 500K observations. A parsimonious CNN baseline model for sentiment classification should replicate the easy use of linear methods. In this study, we introduce a Latent Semantic Analysis (LSA) based CNN model, in which natively trained LSA word vectors are used as input into parallel 1-dimensional convolutional layers (1D-CNNs). The LSA word vector model is obtained by applying singular value decomposition (SVD) on the data transformed by a unigram and TFIDF weighting. Thus, the convolutional layers are designed with window sizes that are best suited for LSA word vectors. This parsimonious LSA -based CNN model exceeds the accuracy of all linear classifiers utilizing ngrams with TFIDF on all analyzed datasets, with average improvement of 0.73% by the top performing LSA-based CNN models. This may be due to the fact that CNNs are better adept at capturing word relationships in phrases and sentences that are not necessarily in the training corpus. Furthermore, the LSA-based CNN model exceeds the performance of word2vec-based CNN models as well. Thus, the success of LSA-based CNNs may potentiate their use as a baseline in classification tasks alongside linear models. Also, we provide guiding principles to simplify the application of LSA-based CNNs in document classification tasks.",,978-1-7281-0207-8,10.1109/BESC.2018.8697314,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8697314,,Training;Task analysis;Biological system modeling;Vocabulary;Neural networks;Semantics;Analytical models,convolutional neural nets;pattern classification;singular value decomposition;text analysis,term-frequency inverse-document-frequency;TFIDF;linear classifiers;parsimonious CNN baseline model;sentiment classification;LSA word vectors;parallel 1-dimensional convolutional layers;LSA word vector model;parsimonious LSA;LSA-based CNN model;word2vec-based CNN models;linear models;document classification tasks;Latent Semantic Analysis boosted convolutional neural networks,,,,33,,25-Apr-19,,,IEEE,IEEE Conferences
An Efficient Text Classification Using fastText for Bahasa Indonesia Documents Classification,¨Ï¥ÎfastText¶i¦æ¦L«×¥§¦è¨È»y¤åÀÉ¤ÀÃþªº°ª®Ä¤å¥»¤ÀÃþ,A. Amalia; O. S. Sitompul; E. B. Nababan; T. Mantoro,"Universitas Sumatera Utara,Department of Computer Science,Medan,Indonesia; Universitas Sumatera Utara,Department of Information Technology,Medan,Indonesia; Universitas Sumatera Utara,Department of Information Technology,Medan,Indonesia; Sampoerna University,Department of Computer Science,Jakarta,Indonesia","2020 International Conference on Data Science, Artificial Intelligence, and Business Analytics (DATABIA)",10-Sep-20,2020,,,69,75,"Text classification using a simple word representation with a linear classifier often considered as strong baselines to gain the best performances. However, a simple word representation like Bag of Word (BOW) has a deficiency of curse dimensionality, so it is only suitable for small datasets. BOW also needs some dependent pre-processing steps like stopwords-removal and stemming. Therefore, the BOW model cannot be implemented automatically because of the dependency in a specific language. On the other hand, deep neural network classifiers can eliminate the pre-processing prerequisite, but this model not efficient in time processing and need a large dataset for the learning process. It becomes a challenge for language that has limitation resources like Bahasa Indonesia. Another novel approach of text classifier is using the fastText model for text classification. This model can minimize pre-processing dependencies and more efficient in training time processing. However, there hasn't been much observation whether the fastText model outperformed the BOW model for small datasets. This paper aims to compare text classification using the TFIDF model as one of the BOW models with a fastText model for 500 news articles in Bahasa Indonesia. The result of this study showed both models gain an outstanding performance, which is 0.97 F-Score. The TFIDF model needs longer pre-processing stages and requiring more training time. Meanwhile, the fastText model only needs to tune some hyperparameters and get similar performance results to the TFIDF model. Based on this study, we can conclude that the fastText model is efficient text classification.",,978-1-7281-9792-0,10.1109/DATABIA50434.2020.9190447,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9190447,fastText;text classification;efficient text classification;Bahasa Indonesia,Text categorization;Neural networks;Training;Classification algorithms;Libraries;Machine learning;Semantics,learning (artificial intelligence);natural language processing;neural nets;pattern classification;text analysis,fastText model;BOW model;TFIDF model;text classification;Bahasa Indonesia documents classification;word representation;deep neural network classifiers;learning process;Bag of Word,,,,18,,10-Sep-20,,,IEEE,IEEE Conferences
Enhanced Topic Identification Algorithm for Arabic Corpora,ªü©Ô§B»y®Æ®wªº¼W±j¥DÃDÃÑ§Oºâªk,A. Alsaad; M. Abbod,"Dept. of Electron. & Comput. Eng., Brunel Univ., Uxbridge, UK; Dept. of Electron. & Comput. Eng., Brunel Univ., Uxbridge, UK",2015 17th UKSim-AMSS International Conference on Modelling and Simulation (UKSim),26-Sep-16,2015,,,90,94,"During the past few years, the construction of digitalized content is rapidly increasing, raising the demand of information retrieval, data mining and automatic data tagging applications. There are few researches in this field for Arabic data due to the complex nature of Arabic language and the lack of standard corpora. In addition, most work focuses on improving Arabic stemming algorithms, or topic identification and classification methods and experiments. No work has been conducted to include an efficient stemming method within the classification algorithm, which would lead to more efficient outcome. In this paper, we propose a new approach to identify significant keywords for Arabic corpora. That is done by implementing advanced stemming and root extraction algorithm, as well as Term Frequency/Inverse Document Frequency (TFIDF) topic identification method. Our results show that combining advanced stemming, root extraction and TFIDF techniques, lead to extracting a highly significant terms represented by Arabic roots. These roots weights higher TFIDF values than terms extracted without the use of advanced stemming and root extraction methods. Decreasing the size of indexed words and improving the feature selection process.",,978-1-4799-8713-9,10.1109/UKSim.2015.77,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7576527,root extraction; feature selection; topic identification; natural language processing; data mining; text mining,Feature extraction;Text categorization;Classification algorithms;Algorithm design and analysis;Information retrieval;Internet,data mining;information retrieval;natural language processing;pattern classification;text analysis,feature selection process;root extraction methods;Arabic roots;TFIDF techniques;term frequency-inverse document frequency topic identification method;root extraction algorithm;classification algorithm;efficient stemming method;Arabic stemming algorithms;Arabic language;Arabic data;automatic data tagging applications;data mining;information retrieval;digitalized content construction;Arabic corpora;topic identification algorithm enhancement,,1,,17,,26-Sep-16,,,IEEE,IEEE Conferences
Formal concept analysis and document clustering via granular computing,³q¹L²É«×­pºâ¶i¦æ¥¿¦¡·§©À¤ÀªR©M¤åÀÉ»EÃþ,T. Y. Lin; I. Chiang,"Department of Computer Science, San Jose State Univ, CA, USA; Graduate Institute of Medical Informatics, Taipei Medical University, Taiwan","2006 IEEE International Conference on Systems, Man and Cybernetics",16-Jul-07,2006,6,,4763,4767,A text/web document is a knowledge representation of a human idea (a structured set of thoughts). This paper refines TFIDF and extended TFIDF(ETFIDF)[16]; These values really measures the co-occurrences of tokens. The ETFID captures the semantic more accurately. Tokens with high TFIDF values are called keywords. The sets of (n+1) Co-occurring keywords with High ETFIDF are called n-granules. The collection of keywords and n-granules can be interpreted geometrically; they form a non-closed simplicial complex. The corresponding non-closed polyhedron is called latent semantic space(LSS). LSS is a geometric knowledge base that provides the semantic to search engine.,1062-922X,1-4244-0099-6,10.1109/ICSMC.2006.385058,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4274667,Keyword;simplex;granules;Latent semantic space,Text analysis;Humans;Set theory;Cybernetics;Knowledge representation;Search engines;Topology;Extraterrestrial measurements;Uncertainty;Computer science,knowledge representation;pattern clustering;search engines;text analysis,formal concept analysis;document clustering;granular computing;text document;Web document;knowledge representation;extended TFIDF;token cooccurrences;keywords;latent semantic space;geometric knowledge base;search engine,,,,30,,16-Jul-07,,,IEEE,IEEE Conferences
Document Categorization with Entropy Based TF/IDF Classifier,¨Ï¥Î°ò©óæiªºTF / IDF¤ÀÃþ¾¹¹ï¤åÀÉ¶i¦æ¤ÀÃþ,Y. Lu; Y. Huang,"Coll. of Inf. Eng., Zhejiang Univ. of Technologe, Hangzhou, China; NA",2009 WRI Global Congress on Intelligent Systems,21-Aug-09,2009,4,,269,273,"The task of text categorization is assigning a given text document to one or more predefined categories. High availability of digital data requires methods for automatic processing of this data. Day-by day increase of this digital data gives rise to the need of fast and better text classifiers. This paper mainly focuses on classifying data in context of text categorization. This paper reports a study conducted on 20 news group dataset, using TFIDF in the context of document categorization. Feature selection is added to this result to improvise the categorization. The results achieved using this algorithm are very promising when compared to conventional methods with features chosen on the basis of bag-of-words text.",2155-6091,978-0-7695-3571-5,10.1109/GCIS.2009.311,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5209295,TFIDF;Entropy;Mutual gain information,Entropy;Text categorization;Clustering algorithms;Mutual information;Information filtering;Information filters;Intelligent systems;Educational institutions;Availability;Computer science,text analysis,document categorization;entropy;TF/IDF classifier;text categorization;feature selection;bag-of-words text;mutual gain information,,3,,6,,21-Aug-09,,,IEEE,IEEE Conferences
Natural Language Processing and Classification Methods for the Maintenance and Optimization of US Weapon Systems,¦ÛµM»y¨¥³B²z©M¤ÀÃþ¤èªk,N. Bruno; T. Jun; H. Tessier,NA; NA; NA,2019 Systems and Information Engineering Design Symposium (SIEDS),13-Jun-19,2019,,,1,6,"The Logistics Management Institute (LMI) works with the US Department of Defense (DoD) in analyzing maintenance logs on US weapons systems. A major issue in processing this data is determining how to extract useful information from disorganized short-form texts in order to optimize the maintenance of these systems. Unlike text from other corpora, these text entries are only a few words in length and do not conform to lexical convention. LMI has provided a subset of about 10 million of these maintenance logs, each labeled with action-object pairs. The goals of this research are to construct a model that predicts action-object pairs and provide a metric to assess its validity. Prior to analysis, the entries are vectorized by either TFIDF and TSVD, or Word2vec. Several models are applied, including logistic regression, k-NN, SVM, decision trees, LSA, and DBSCAN clustering. Unsupervised models are tested in addition to supervised models due to the ambiguity regarding the validity of the provided ground truth values. The results of these tests yield accuracy scores of about 0.53 for action words and 0.73 for object words. Furthermore, the results from clustering provides evidence for discrepancies in the ground truth values. Taking this into consideration, prior models are adjusted and accuracy scores increased to 0.78 for action words.",,978-1-7281-0998-5,10.1109/SIEDS.2019.8735587,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8735587,Natural Language Processing;Text Mining;TFIDF;Word2vec,Maintenance engineering;Weapons;Pattern recognition;Natural language processing;Logistics;Dictionaries;Support vector machines,decision trees;logistics;military computing;military equipment;natural language processing;pattern classification;pattern clustering;regression analysis;support vector machines;text analysis;weapons,action-object pairs;Word2vec;logistic regression;unsupervised models;supervised models;action words;object words;prior models;natural language processing;classification methods;US weapon systems;LMI;maintenance logs;weapons systems;disorganized short-form texts;text entries;lexical convention;ground truth values,,,,14,,13-Jun-19,,,IEEE,IEEE Conferences
