Document Title,¤¤¤å¼ÐÃD,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Bilingual Printed Document Image Retrieval Based on SIFT Feature,°ò©óSIFT¯S¼xªºÂù»y¦L¨ê¤åÀÉ¹Ï¹³ÀË¯Á,E. Firkat; A. Dawut; P. Tuerxun; A. Hamdulla,"Sch. of Software, Xinjiang Univ., Urumqi, China; Sch. of Software, Xinjiang Univ., Urumqi, China; Sch. of Software, Xinjiang Univ., Urumqi, China; Inst. of Inf. Sci. & Eng., Xinjiang Univ. Urumqi, Urumqi, China","2019 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",21-Mar-19,2019,,,548,551,"This paper present a printed document retrieval system which can retrieve Chinese and Uyghur keywords from printed document images. In this paper we introduce the framework of the printed document retrieval system and processing step behind it which can be based line for the word spotting based document retrieval system, we also describe the extraction algorithm that use local feature as SIFT to extract the feature from image and use Euclidean based matching algorithm to query the matching word in printed document image. Some novel idea applied in this system might be helpful for some Other Bilingual printed document image retrieve system.",,978-1-7281-1307-4,10.1109/ICITBS.2019.00137,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8669601,word spotting;SIFT;document retrieval system,Feature extraction;Image segmentation;Image retrieval;Optical character recognition software;Euclidean distance;Clustering algorithms;Object recognition,document image processing;feature extraction;image matching;image retrieval;natural language processing;transforms,Bilingual printed document image retrieval;SIFT feature;printed document retrieval system;Euclidean based matching algorithm;Chinese keyword retrieval;Uyghur keyword retrieval;feature extraction,,,,7,,21-Mar-19,,,IEEE,IEEE Conferences
Cross-Domain Document Object Detection: Benchmark Suite and Method,¸ó°ì¤åÀÉ¹ï¶HÀË´ú¡G°ò·Ç®M¥ó©M¤èªk,K. Li; C. Wigington; C. Tensmeyer; H. Zhao; N. Barmpalios; V. I. Morariu; V. Manjunatha; T. Sun; Y. Fu,Northeastern University; Adobe Research; Adobe Research; Adobe Research; Adobe Document Cloud; Adobe Research; Adobe Research; Adobe Research; Northeastern University,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),5-Aug-20,2020,,,12912,12921,"Decomposing images of document pages into high-level semantic regions (e.g., figures, tables, paragraphs), document object detection (DOD) is fundamental for downstream tasks like intelligent document editing and understanding. DOD remains a challenging problem as document objects vary significantly in layout, size, aspect ratio, texture, etc. An additional challenge arises in practice because large labeled training datasets are only available for domains that differ from the target domain. We investigate cross-domain DOD, where the goal is to learn a detector for the target domain using labeled data from the source domain and only unlabeled data from the target domain. Documents from the two domains may vary significantly in layout, language, and genre. We establish a benchmark suite consisting of different types of PDF document datasets that can be utilized for cross-domain DOD model training and evaluation. For each dataset, we provide the page images, bounding box annotations, PDF files, and the rendering layers extracted from the PDF files. Moreover, we propose a novel cross-domain DOD model which builds upon the standard detection model and addresses domain shifts by incorporating three novel alignment modules: Feature Pyramid Alignment (FPA) module, Region Alignment (RA) module and Rendering Layer alignment (RLA) module. Extensive experiments on the benchmark suite substantiate the efficacy of the three proposed modules and the proposed method significantly outperforms the baseline methods. The project page is at \url{https://github.com/kailigo/cddod}.",2575-7075,978-1-7281-7168-5,10.1109/CVPR42600.2020.01293,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9156933,,Portable document format;US Department of Defense;Object detection;Benchmark testing;Layout;Rendering (computer graphics);Detectors,document image processing;learning (artificial intelligence);object detection;pattern clustering;text analysis;text detection,page images;PDF files;standard detection model;domain shifts;benchmark suite substantiate;cross-domain document object detection;document pages;high-level semantic regions;intelligent document editing;aspect ratio;labeled training datasets;target domain;source domain;PDF document datasets;cross-domain DOD model;region alignment module,,,,37,,5-Aug-20,,,IEEE,IEEE Conferences
Fuzzy clustering and categorization of text documents,¤å¥»¤åÀÉªº¼Ò½k»EÃþ©M¤ÀÃþ,H. Ayeldeen; A. E. Hassanien; A. A. Fahmy,"Cairo University, Faculty of Computers and Information, Egypt; Cairo University, Faculty of Computers and Information, Egypt; Cairo University, Faculty of Computers and Information, Egypt",13th International Conference on Hybrid Intelligent Systems (HIS 2013),13-Oct-14,2013,,,262,266,"The fuzzy Euclidean distance clustering algorithm has been well studied and used in information retrieval society for clustering documents. However, the fuzzy logic algorithm poses problems in dealing with large amount of data. In this paper we proposed results for clustering theses documents based on Euclidean distances and cluster-dependent keyword weighting. The proposed approach is based on the Fuzzy Euclidean distance clustering algorithm. The cluster dependent keyword weighting help in partitioning and categorizing the theses documents into more meaningful categories.",,978-1-4799-2439-4,10.1109/HIS.2013.6920493,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6920493,Lexical similarity;Medical Ontology;MeSH;Fuzzy Euclidean distance Algorithm,Ontologies;Ultrasonic imaging;Biopsy;Decision support systems;Pacemakers;Catheters;Surgery,data mining;document handling;fuzzy logic;medical computing;ontologies (artificial intelligence);pattern clustering,text document categorization;fuzzy Euclidean distance clustering algorithm;information retrieval;document clustering;fuzzy logic algorithm;cluster-dependent keyword weighting,,1,,19,,13-Oct-14,,,IEEE,IEEE Conferences
Semantic feature reduction in chinese document clustering,¤¤¤å¤åÀÉ»EÃþ¤¤ªº»y¸q¯S¼x¬ùÂ²,Xianjun Meng; Qingcai Chen; Xiaolong Wang,"ICRC Lab, Shenzhen Graduate School, Harbin Institute of Technology, China; ICRC Lab, Shenzhen Graduate School, Harbin Institute of Technology, China; ICRC Lab, Shenzhen Graduate School, Harbin Institute of Technology, China","2008 IEEE International Conference on Systems, Man and Cybernetics",7-Apr-09,2008,,,3721,3726,"Text clustering techniques were usually used to structure the text documents into topic related groups which can facilitate users to get a comprehensive understanding on corpus or results from information retrieval system. Most of existing text clustering algorithm which derived from traditional formatted data clustering heavily rely on term analysis methods and adopted vector space model (VSM) as their document representation. But because of the essential characteristic underlying text such as high dimensionality features vector space, the problem of sparseness has a strong impact on the clustering algorithm. So feature reduction is an important preprocess step for improving the efficiency and accuracy of clustering algorithm by removing redundant and irrelevant terms from corpus. Even the clustering is considered as an unsupervised learning method, but in text, there is still some priori knowledge we can use from NLP analysis based approach. In this paper, we propose a semantic analysis based feature reduction method which used in Chinese text clustering. Our method bases on a dedicated Part-of-Speech tags selection and synonyms consolidation and can reduce the feature space of documents more effectively compared with traditional feature reduction method tfidf and stopwords removal; meanwhile it preserves or sometimes even improves the accuracy of clustering algorithm. In our experiment, we tested our feature reduction method using bisecting k-means algorithm which was proved be efficient in text clustering. The results show that our method can reduce the feature space significantly, and meanwhile have a better clustering accuracy in terms of the purity.",1062-922X,978-1-4244-2383-5,10.1109/ICSMC.2008.4811878,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4811878,text clustering;feature selection;part-of-speech;synonym,Clustering algorithms;Information retrieval;Unsupervised learning;Functional analysis;Algorithm design and analysis;Testing;Text mining;Navigation;Search engines;Clustering methods,information retrieval;natural language processing;text analysis;unsupervised learning,semantic feature reduction;Chinese document clustering;text clustering;information retrieval system;term analysis;vector space model;document representation;unsupervised learning;natural language processing;part-of-speech tags,,2,,27,,7-Apr-09,,,IEEE,IEEE Conferences
Decomposition of term-document matrix representation for clustering analysis,¤À¸Ñ³N»y-¤åÀÉ¯x°}ªí¥Ü§Î¦¡¥H¶i¦æ»EÃþ¤ÀªR,J. Yang; J. Watada,"Graduate School of Information, Production and Systems, Waseda University, Kitakyushu, Japan; Graduate School of Information, Production and Systems, Waseda University, Kitakyushu, Japan",2011 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE 2011),1-Sep-11,2011,,,976,983,"Latent Semantic Indexing (LSI) is an information retrieval technique using a low-rank singular value decomposition (SVD) of term-document matrix. The aim of this method is to reduce the matrix dimension by finding a pattern in document collection with concurrently referring terms. The methods are implemented to calculate the weight of term-document in vector space model (VSM) for document clustering using fuzzy clustering algorithm. LSI is an attempt to exploit the underlying semantic structure of word usage in documents. During the query-matching phase of LSI, a user's query is first projected into the term-document space, and then compared to all terms and documents represented in the vector space. Using some similarity measure, the nearest (most relevant) terms and documents are identified and returned to the user. The current LSI query-matching method requires computing the similarity measure about the query of every term and document in the vector space. In this paper, the Maximal Tree Algorithm is used within a recent LSI implementation to mitigate the computational time and computational complexity of query matching. The Maximal Tree data structure stores the term and document vectors in such a way that only those terms and documents are most likely qualified as the nearest neighbor to the query will be examined and retrieved. In a word, this novel algorithm is suitable for improving the accuracy of data miners.",1098-7584,978-1-4244-7317-5,10.1109/FUZZY.2011.6007525,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6007525,Fuzzy clustering;data mining;LSI;SVD,Large scale integration;Matrix decomposition;Semantics;Accidents;Indexing;Economics;Singular value decomposition,computational complexity;data mining;fuzzy set theory;indexing;pattern clustering;query processing;singular value decomposition;tree data structures;word processing,term-document matrix representation;latent semantic indexing;information retrieval technique;LSI technique;low-rank singular value decomposition;SVD;term-document matrix decomposition;matrix dimension reduction;vector space model;document clustering;fuzzy clustering algorithm;word usage;user query;similarity measures;nearest term identification;LSI query matching method;maximal tree algorithm;computational complexity;maximal tree data structure;clustering analysis,,,,22,,1-Sep-11,,,IEEE,IEEE Conferences
Clustering patent document in the field of ICT (Information & Communication Technology),ICT¡]«H®§©M³q«H§Þ³N¡^»â°ìªº±M§Q¤å¥óªº»EÃþ,A. Widodo; I. Budi,"Faculty of Computer Science, University of Indonesia; Faculty of Computer Science, University of Indonesia",2011 International Conference on Semantic Technology and Information Retrieval,22-Aug-11,2011,,,203,208,"The current classification of patent data that refers to the IPC (International Patent Classification) of the WIPO (World Intellectual Property Organization), deemed not reflect the classification of the field of ICT (Information & Communication Technology). ICT applications are usually included in sections G (Physics) and H (Electricity). This paper will evaluate the eight groupings of patents based on the IPC classes (G01, G06, G09, G11, H01, H03, H04, and H06) of patents registered in the Directorate General of Intellectual Property Rights in Indonesia, from the year 1991 to 2000. The algorithm used to grouping is KMeans, KMeans++, Hierchical Clustering, and a combination of these three algorithms with SVD (Singular Value Decomposition). For external validation, Purity and F-Measure are used, whereas Silhouette is used for internal validation. From the experimental results it can be concluded that SVD provides improvements to the clustering results. In addition, the use of abstract does not necessarily improve the performance of clustering, and the use of phrase does not always yield better cluster than the use of the word as index. Moreover, no cluster has purity measure greater than 50%, which means that the existing IPC classification has not been able to accommodate the field of ICT appropriately.",2166-0700,978-1-61284-353-7,10.1109/STAIR.2011.5995789,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5995789,Clustering;Patent;Singular Value Decomposition;Kmeans;Information & Communication Technology,Patents;Clustering algorithms;Abstracts;Indexing;Matrix decomposition;Singular value decomposition,document handling;information technology;patents;pattern classification;pattern clustering;singular value decomposition,patent document clustering;ICT field;information and communication technology;patent data classification;international patent classification;WIPO;world intellectual property organization;patent registration;KMeans++ algorithm;hierarchical clustering;SVD;singular value decomposition;F-Measure validation;Silhouette validation,,4,,14,,22-Aug-11,,,IEEE,IEEE Conferences
Effect of Latent Semantic Indexing for Clustering Clinical Documents,¼ç¦b»y¸q¯Á¤Þ¹ïÁ{§É¤å¥ó»EÃþªº¼vÅT,C. Han; J. Choi,"Interdiscipl. Program of Bioeng., Seoul Nat. Univ., Seoul, South Korea; Dept. of Biomed. Eng., Seoul Nat. Univ., Seoul, South Korea",2010 IEEE/ACIS 9th International Conference on Computer and Information Science,30-Sep-10,2010,,,561,566,"The measurement of similarity between documents is usually influenced by sparseness of term-document matrix. Latent semantic indexing (LSI) is an alternative method to solve the problem, and the dimension reduction by LSI improves the performance of the measurement of the similarity. In this study, LSI is examined as a method to cluster clinical documents containing the same clinical problems or disorders. The similarity of clinical documents was measured effectively with LSI. LSI performed better on clinical documents which can be characterized with medical terms, various expressions for the same concepts, abbreviations and typos, than editorials. Our result showed that LSI is useful for the measurement of the similarity of the clinical documents examined in this study. And the correlation between co-occurrence of terms and similarity is also analyzed as an important aspect of LSI. Not only the co-occurring terms but unshared terms between documents were found as factors influencing the similarity.",,978-1-4244-8198-9,10.1109/ICIS.2010.138,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5591005,co-occurrence;latent semantic indexing;clinical document,Large scale integration;Editorials;Correlation;Discharges;Semantics;Biomedical measurements;Indexing,document handling;indexing;medical administrative data processing;pattern clustering;sparse matrices;statistical analysis,latent semantic indexing;clinical document clustering;term document matrix;co-occurrence,,3,,11,,30-Sep-10,,,IEEE,IEEE Conferences
Classifying text documents using unconventional representation,¨Ï¥Î«D±`³Wªí¥Üªk¹ï¤å¥»¤åÀÉ¶i¦æ¤ÀÃþ,B. S. Harish; S. V. Aruna Kumar; S. Manjunath,"Dept. of Information Science & Engineering, S J College of Engineering, Mysore, India; Dept. of Information Science & Engineering, S J College of Engineering, Mysore, India; Dept. of Computer Science, Central University of Kerala, India",2014 International Conference on Big Data and Smart Computing (BIGCOMP),17-Feb-14,2014,,,210,216,"Classification of text documents is one of the most common themes in the field of machine learning. Although a text document expresses a wide range of information, but it lacks the imposed structure of tradition database. Thus, unstructured data, particularly free running text data has to be transferred into a structured data. Hence, in this paper we represent the text document unconventionally by making use of symbolic data analysis concepts. We propose a new method of representing documents based on clustering of term frequency vectors. Term frequency vectors of each cluster are used to form a symbolic representation by the use of Mean and Standard Deviation. Further, term frequency vectors are used in the form a interval valued features. To cluster the term frequency vectors, we make use of Single Linkage, Complete Linkage, Average Linkage, K-Means and Fuzzy C-Means clustering algorithms. To corroborate the efficacy of the proposed model we conducted extensive experimentations on standard datasets like 20 Newsgroup Large, 20 Mini Newsgroup, Vehicles Wikipedia datasets and our own created datasets like Google Newsgroup and Research Article Abstracts. Experimental results reveal that the proposed model gives better results when compared to the state of the art techniques. In addition, as the method is based on a simple matching scheme, it requires a negligible time.",2375-9356,978-1-4799-3919-0,10.1109/BIGCOMP.2014.6741438,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6741438,Classification;Text Documents;Representation;Clustering Algorithms,Accuracy;Couplings;Vectors;Training;Text categorization;Clustering algorithms;Classification algorithms,data analysis;data structures;fuzzy set theory;learning (artificial intelligence);pattern classification;pattern clustering;pattern matching;text analysis,text document classification;unconventional text document representation;machine learning;unstructured data;free running text data;symbolic data analysis;term frequency vector clustering;symbolic representation;mean;standard deviation;interval valued features;single linkage;complete linkage;average linkage;K-means clustering algorithms;fuzzy C-means clustering algorithms;standard datasets;matching scheme,,2,,26,,17-Feb-14,,,IEEE,IEEE Conferences
A Clustering-Based Approach for Integrating Document-Category Hierarchies,°ò©ó»EÃþªº¤åÀÉÃþ§O¼h¦¸µ²ºc¶°¦¨¤èªk,T. Cheng; C. Wei,"Southern Taiwan Univ., Tainan; NA","IEEE Transactions on Systems, Man, and Cybernetics - Part A: Systems and Humans",3-Mar-08,2008,38,2,410,424,"E-commerce applications generate and consume a tremendous amount of online information, which is typically available as textual documents. Conceivably, organizations and individuals generally use category sets or hierarchies to organize, archive, and access their documents. Meanwhile, organizations and individuals constantly acquire relevant documents from various Internet sources, each of which may organize its documents in a category set or hierarchy different from that used by the acquiring organization or individual. Consequently, the integration of source documents organized in a category hierarchy into an existing category hierarchy deployed by the acquiring organization or individual becomes an important issue in the e-commerce era. Existing category-integration techniques are mainly designed to integrate document catalogs, each of which is organized nonhierarchically (i.e., in a flat set). In this paper, we propose a clustering-based category-hierarchy integration (CHI) technique, which is an extension of the clustering-based category-integration (CCI) technique. Our empirical evaluation results show that the proposed CHI technique appears to improve the effectiveness of category-hierarchy integration compared with that attained by nonhierarchical category-integration techniques, particularly in homogeneous and comparable scenarios.",1558-2426,,10.1109/TSMCA.2007.914758,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4459764,Category-hierarchy integration;document-category integration;document clustering;document management;taxonomy integration;text mining,Educational institutions;Internet;Catalogs;Technology management;Finance;Radiofrequency interference;Taxonomy;Text mining;Web sites,electronic commerce;pattern clustering;text analysis,textual document category hierarchy integration;e-commerce application;Internet,,10,,37,,3-Mar-08,,,IEEE,IEEE Journals
WordNet-Based and N-Grams-Based Document Clustering: A Comparative Study,°ò©óWordNet©M°ò©óN Gramsªº¤åÀÉ»EÃþ¡G¤ñ¸û¬ã¨s,A. Amine; Z. Elberrichi; M. Simonet; M. Malki,"Dept. of Comput. Sci., UDL Univ., Sidi Belabbes; Dept. of Comput. Sci., UDL Univ., Sidi Belabbes; TIMC-IMAG Lab., Joseph Fourier Univ., Grenoble; Dept. of Comput. Sci., UDL Univ., Sidi Belabbes","2008 Third International Conference on Broadband Communications, Information Technology & Biomedical Applications",8-Dec-08,2008,,,394,401,"A great number of methods of unsupervised classifications also called clustering were applied to the textual documents. In this paper, we initially propose the method of the self-organizing maps of Kohonen for the clustering of the textual documents based on the n-grams representation. The same method based on the synsets of WordNet as terms for the representation of the textual documents will be studied thereafter. The effects of these methods are examined in several experiments using 4 measurements of similarity: the Cosine distance, the Euclidean distance, the squared Euclidean distance and the Manhattan distance. The reuters-21578 corpus is used for evaluation. The evaluation was done, by using the F-measure and the entropy. The results obtained show that in spite of the good results obtained by the method of the n-grams, the fact of adding lexical knowledge in the representation makes it possible to build a better classification.",,978-1-4244-3281-3,10.1109/BROADCOM.2008.7,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4696139,Document clustering;self-organizing maps of Kohonen;n-grams;WordNet;similarity;reuters-21578,Laboratories;Computer science;Self organizing feature maps;Euclidean distance;Broadband communication;Information technology;Application software;Biomedical measurements;Entropy;Internet,document handling;pattern classification;pattern clustering;self-organising feature maps,WordNet;document clustering;unsupervised classifications;Kohonen self-organizing maps;n-grams representation;Cosine distance;Euclidean distance;squared Euclidean distance;Manhattan distance;reuters-21578 corpus;F-measure;entropy;lexical knowledge;data representation,,3,,21,,8-Dec-08,,,IEEE,IEEE Conferences
NMF based dimension reduction methods for Turkish text clustering,°ò©óNMFªº¤g¦Õ¨ä¤å¥»»EÃþ­°ºû¤èªk,A. GÃ¼ran; M. C. Ganiz; H. S. Naibo?lu; H. O. KaptÄ±kaÃ§tÄ±,"Computer Engineering Dept., Do?u? University, AcÄ±badem, KadÄ±kÃ¶y, 34722, Istanbul, Turkey; Computer Engineering Dept., Do?u? University, AcÄ±badem, KadÄ±kÃ¶y, 34722, Istanbul, Turkey; Computer Engineering Dept., Do?u? University, AcÄ±badem, KadÄ±kÃ¶y, 34722, Istanbul, Turkey; Computer Engineering Dept., Do?u? University, AcÄ±badem, KadÄ±kÃ¶y, 34722, Istanbul, Turkey",2013 IEEE INISTA,15-Aug-13,2013,,,1,5,"In this work, we analyze the effects of NMF based dimension reduction methods on clustering of Turkish documents by using k-means clustering algorithm. All experiments are conducted on two different datasets that we call Milliyet4c1k and 1150haber. The NMF based dimension reduction methods have two purposes: to reduce the original vector space by transformation and to reduce size and dimension by summarizing original documents. Experimental results show that NMF transformation yields to better clustering results on both datasets. Using k-means on summarized documents produces almost identical result with k-means on original documents. Although using summaries instead of full documents doesn't improve quality of clustering, we show that it significantly reduces the size of the processed data and execution time of k-means clustering algorithm.",,978-1-4799-0661-1,10.1109/INISTA.2013.6577618,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6577618,Turkish text clustering;k-means;dimension reduction;NMF;NMF based text summarization,Clustering algorithms;Measurement;Semantics;Vectors;Clustering methods;Classification algorithms;Information systems,matrix decomposition;natural language processing;pattern clustering;text analysis,Turkish text clustering;NMF-based dimension reduction methods;Turkish document clustering;k-means clustering algorithm;Milliyet4c1k dataset;1150haber dataset;vector space reduction;summarized document size reduction;summarized document dimension reduction;execution time reduction;negative matrix factorization,,2,,24,,15-Aug-13,,,IEEE,IEEE Conferences
Procreant PSO for document clustering,¥Î©ó¤åÀÉ»EÃþªºProcreant PSO,K. Premalatha; A. M. Natarajan,"Kongu Engineering College, Erode - 638 052, TN, India; Kongu Engineering College, Erode - 638 052, TN, India","2008 International Conference on Computing, Communication and Networking",24-Feb-09,2008,,,1,2,"Fast and high-quality document clustering algorithms play an important role towards the goal of organizing large amounts of information into a small number of meaningful clusters. Traditional clustering algorithms will search only a small sub-set of all possible clustering and consequently, there is no guarantee that the solution found will be optimal. This paper presents Procreant PSO (PPSO) algorithm for document clustering. In standard PSO the non-oscillatory route can quickly cause a particle to stagnate and also it may prematurely converge on suboptimal solutions that are not even guaranteed to be local optimum. In this paper a modification strategy is proposed for the particle swarm optimization (PSO) algorithm. The strategy adds reproduction when the stagnation in movement of the particle is identified and carries out local search to improve the goodness of fitting. Procreation has the capability to achieve faster convergence and better solution. Experiments results are examined with document corpus. It demonstrates that the PPSO algorithm statistically outperforms the Simple PSO and K-Means.",,978-1-4244-3594-4,10.1109/ICCCNET.2008.4787660,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4787660,,Communication system security;Information security;Wireless sensor networks;Knowledge management;Resource management;Protection;Spread spectrum communication;Internet;Distributed computing;Computer science,particle swarm optimisation;pattern clustering,document clustering;procreant PSO;particle swarm optimization;modification strategy;k-means,,1,,,,24-Feb-09,,,IEEE,IEEE Conferences
An approach to visualize unorganized collections of documents,¥iµø¤ÆµL²ÕÂ´ªº¤åÀÉ¶°¦Xªº¤èªk,D. Karina Trejo T.; Ma. Auxilio Medina N.; M. Jorge de la Calleja; ?. A. MartÃ­nez M.; J. Alfredo SÃ¡nchez,"Laboratorio de PercepciÃ³n por Computadora, Universidad PolitÃ©cnica de Puebla, Tercer Carril del Ejido Serrano S/N, San Mateo CuanalÃ¡, Juan C. Bonilla, MÃ©xico; Laboratorio de PercepciÃ³n por Computadora, Universidad PolitÃ©cnica de Puebla, Tercer Carril del Ejido Serrano S/N, San Mateo CuanalÃ¡, Juan C. Bonilla, MÃ©xico; Laboratorio de PercepciÃ³n por Computadora, Universidad PolitÃ©cnica de Puebla, Tercer Carril del Ejido Serrano S/N, San Mateo CuanalÃ¡, Juan C. Bonilla, MÃ©xico; Laboratorio de PercepciÃ³n por Computadora, Universidad PolitÃ©cnica de Puebla, Tercer Carril del Ejido Serrano S/N, San Mateo CuanalÃ¡, Juan C. Bonilla, MÃ©xico; Laboratory of Interactive and Cooperative Technologies, Universidad de las AmÃ©ricas Puebla, Ex-hacienda Santa Catarina MÃ¡rtir S/N, San AndrÃ©s Cholula, MÃ©xico","2014 International Conference on Electronics, Communications and Computers (CONIELECOMP)",1-May-14,2014,,,248,255,"In order to support search and retrieval of documents in digital libraries, this paper proposes an approach to visualize unorganized collections based on the results of two clustering algorithms namely k-means and COBWEB. These algorithms are implemented in Weka and they were chosen experimentally to produce a structure that can be explored by users in a 3D interface. Documents need to be processed before Weka can use them. We describe the main components of the proposed interface and show preliminary results of the application of those algorithms.",,978-1-4799-3469-0,10.1109/CONIELECOMP.2014.6808599,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6808599,Information visualization;clustering;digital libraries,Clustering algorithms;Machine learning algorithms;Vectors;Partitioning algorithms;Organizations;Libraries;Classification algorithms,data visualisation;digital libraries;document handling;information retrieval;pattern clustering,document searching;document retrieval;digital libraries;k-means clustering algorithm;COBWEB clustering algorithm;Weka;3D interface;document processing;unorganized document collection visualization,,,,6,,1-May-14,,,IEEE,IEEE Conferences
Documents clustering based on max-correntropy nonnegative matrix factorization,°ò©ó³Ì¤jæi«D­t¯x°}¤À¸Ñªº¤åÀÉ»EÃþ,L. Li; J. Yang; Y. Xu; Z. Qin; H. Zhang,"David R. Cheriton School of Computer Science, University of Waterloo, ON N2L3G1, Canada; Department of Computer Science, University of North Georgia, Oakwood, 30566, USA; Pattem Recognition and Intelligent System Laboratory, Beijing University of Posts and Telecommunications, China; Pattem Recognition and Intelligent System Laboratory, Beijing University of Posts and Telecommunications, China; Pattem Recognition and Intelligent System Laboratory, Beijing University of Posts and Telecommunications, China",2014 International Conference on Machine Learning and Cybernetics,15-Jan-15,2014,2,,850,855,"Nonnegative matrix factorization (NMF) has been successfully applied to many areas of both classification and clustering. Commonly used NMF algorithms mainly target on minimizing the l2 distance or the Kullback-Leibler (KL) divergence, which may not be suitable for nonlinear cases. In this paper, we propose a new decomposition method by maximizing the correntropy between the original and the product of two low-rank matrices for document clustering. This method also allows us to learn new basis vectors of the semantic feature space from data. To our knowledge, there is no existing work which clusters high dimensional document data by maximizing the correntropy in NMF. Our experimental results show the supremacy of the proposed method over other variants of NMF algorithms on Reuters21578 and TDT2 databasets.",2160-1348,978-1-4799-4215-2,10.1109/ICMLC.2014.7009720,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7009720,Document clustering;Nonnegative matrix factorization,Abstracts;Facsimile,document handling;matrix decomposition;pattern clustering,document clustering;max-correntropy nonnegative matrix factorization;NMF algorithms;Kullback-Leibler divergence;l2 distance minimization;low-rank matrices;semantic feature space;TDT2 databasets;Reuters 21578,,6,,34,,15-Jan-15,,,IEEE,IEEE Conferences
Automatic Clustering Assessment through a Social Tagging System,³q¹LªÀ¥æ¼ÐÅÒ¨t²Î¦Û°Ê¶i¦æ»EÃþµû¦ô,E. Cunha; ?. Figueira,"CRACS, Univ. do Porto, Porto, Portugal; CRACS, Univ. do Porto, Porto, Portugal",2012 IEEE 15th International Conference on Computational Science and Engineering,24-Jan-13,2012,,,74,81,"Assessing the quality of the clustering process is fundamental in unsupervised clustering. In literature we can find three different clustering validity techniques: external criteria, internal criteria and relative criteria. In this paper, we focus on external criteria and present an algorithm that allows the implementation of external measures to assess clustering quality when the structure of the data set is unknown. To obtain an automatic partition of a data set and to reflect how documents must be grouped according to human intuition we use internal information present in data like descriptions provide by the users as tags and the distance between documents. The results show an evident correlation between manual and automatic classes indicating it is acceptable to use an automatic partition. In addition to presenting an alternative to finding the structure of the data set using meta-data such as tags, we also wanted to test the impact of their integration in the k-means++ algorithm and verify how it influences the quality of the formed clusters, suggesting a model of integration based on the occurrence of tags in document content. The experimental results indicate a positive impact when external measures are calculated, although there was no apparent correlation between the weight assigned to the tags and the quality of the obtained clusters.",,978-0-7695-4914-9,10.1109/ICCSE.2012.20,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6417277,clustering;effectiveness;cluster validity;tagging;quality assessment,Communities;Clustering algorithms;Vectors;Humans;Partitioning algorithms;Tagging;Manuals,document handling;meta data;pattern clustering;social networking (online);statistical analysis,automatic clustering assessment;social tagging system;clustering process quality assessment;unsupervised clustering validity techniques;external criteria;internal criteria;relative criteria;document content grouping;human intuition;internal information;manual classes;automatic classes;automatic partitioning;meta-data;k-means++ algorithm;tag weight assignment,,1,,16,,24-Jan-13,,,IEEE,IEEE Conferences
Multisets and Clustering XML Documents,¦h¶°©M¶°¸sXML¤åÀÉ,S. Iyer; D. A. Simovici,"Univ. of Massachusetts at Boston, Boston; Univ. of Massachusetts at Boston, Boston",19th IEEE International Conference on Tools with Artificial Intelligence(ICTAI 2007),4-Jan-08,2007,1,,267,274,We propose a novel and efficient solution to the problem of clustering XML documents based on their structure. We use operations on multisets of paths of document trees to define certain metrics on multisets. These metrics are used for clustering real and synthesized XML documents to produce high-quality clusterings.,2375-0197,978-0-7695-3015-4,10.1109/ICTAI.2007.18,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4410294,,XML;Clustering algorithms;Artificial intelligence;Computer science;Engines;Markup languages;Costs;Data mining;Clustering methods;Fourier transforms,document handling;tree data structures;tree searching;XML,multisets metrics;XML document clustering;document tree path;high-quality clustering;eXtensible Markup Language,,,,13,,4-Jan-08,,,IEEE,IEEE Conferences
